# name	lat	lon	modern_name	verses	slug	score
Abana	33.5135	36.3050	Barada River	1	abana	1000
Abarim	31.7539	35.7152	Abarim	5	abarim	1000
Abdon	33.0477	35.1619	Tel Avdon	2	abdon	826
Abel-beth-maacah	33.2581	35.5810	Tel Abel Beth Maacah	6	abel-beth-maacah	756
Abel-keramim	31.8756	36.0049	Sahab	1	abel-keramim	236
Abel-meholah	32.3743	35.5609	Tell Abu Sus	3	abel-meholah	656
Abel-mizraim	31.9149	35.5304	near the mouth of the Jordan River	1	abel-mizraim	660
Abel-shittim	31.8402	35.6737	Tall el Hammam	1	abel-shittim	511
Abiezer	32.6057	35.2900	Afula	1	abiezer	506
Abila	31.9057	35.8559	Merj Ekkeh	0	abila	179
Abila Lysaniou	33.6267	36.1058	Souq Wadi Barada	0	abila-lysaniou	1000
Abilene	33.6267	36.1058	Souq Wadi Barada	1	abilene	1000
Abronah	29.6729	35.0139	Ein Evrona	2	abronah	210
Accad	33.0256	44.3919	Tell Sheshubar	1	accad	241
Acco	32.9211	35.0883	Tel Akko	1	acco	1000
Achaia	38.7200	22.5400	Achaia	10	achaia	1000
Achshaph	32.7589	35.0903	Tel Regev	3	achshaph	332
Achzib 1	31.6421	34.9530	Tel el Beida	2	achzib-1	536
Achzib 2	33.0483	35.1027	Tel Achziv	2	achzib-2	794
Adadah	31.1521	34.9791	Khirbet Aro’er	1	adadah	579
Adam	32.1039	35.5468	Tell ed Damiyeh	1	adam	823
Adamah	32.7997	35.4597	Qarn Hattin	1	adamah	377
Adami-nekeb	32.7492	35.4592	Tel Adami	1	adami-nekeb	722
Adasa	31.8488	35.1636	Khirbet Adasa	0	adasa	677
Addar	30.5834	34.4841	Ein Qedeis	1	addar	188
Addon	32.5433	44.4222	Babylon	2	addon	632
Adithaim	31.9633	34.9518	Al Haditha	1	adithaim	346
Admah	31.2085	35.4492	south of the Lisan	5	admah	318
Adoraim	31.5051	35.0275	Dura	1	adoraim	815
Adramyttium	39.5007	26.9327	Oren	1	adramyttium	1000
Adriatic Sea	38.0000	19.0000	Adriatic and Ionian Seas	1	adriatic-sea	1000
Adulis	15.2631	39.6606	Adulis	0	adulis	1000
Adullam	31.6517	35.0017	Khirbet esh Sheikh Madhkur	9	adullam	737
Adummim	31.8175	35.3615	Adummim	2	adummim	1000
Aenon	32.3815	35.5282	Umm el Umdan	1	aenon	276
Ahava	32.5433	44.4222	Babylon	3	ahava	708
Ahlab	33.3178	35.2434	Khirbet al Mahalib	1	ahlab	665
Ai 1	31.9169	35.2611	Et Tell	32	ai-1	522
Ai 2	31.1342	35.6400	Khirbet Ai	1	ai-2	63
Ai 3	31.9169	35.2611	Et Tell	2	ai-3	328
Aiath	31.9169	35.2611	Et Tell	1	aiath	341
Aija	31.9169	35.2611	Et Tell	1	aija	461
Aijalon 1	31.8411	35.0236	Yalo	8	aijalon-1	665
Aijalon 2	32.8141	35.3090	Tel el Butmeh	1	aijalon-2	151
Ain 1	32.7186	35.6679	Khirbet Ayun	1	ain-1	342
Ain 2	31.3833	34.8656	Tel Halif	3	ain-2	109
Ain 3	31.2814	34.7974	Khirbet Asan	1	ain-3	99
Akeldama	31.7684	35.2329	Akeldama	2	akeldama	456
Akrabbim	30.9066	35.1313	Ma’ale Akrabbim	3	akrabbim	727
Alemeth	31.8249	35.2735	Khirbet Almit	1	alemeth	810
Alexandria	31.1825	29.8965	Alexandria	4	alexandria	1000
Allammelech	32.7718	35.1557	Tel Alil	1	allammelech	518
Allon	32.7211	35.4106	Hanot Taggarim	1	allon	408
Allon-bacuth	31.9228	35.2414	Beitin	1	allon-bacuth	716
Almon	31.8249	35.2735	Khirbet Almit	1	almon	657
Almon-diblathaim	31.6387	35.8266	Duleilat esh Sharqiyeh	2	almon-diblathaim	182
Alush	28.7703	33.7675	Wadi el Esh	2	alush	302
Ama	31.7823	47.8694	Karkheh River	0	ama	51
Amad	32.6725	35.0233	Mount Carmel	1	amad	601
Amalek	30.6483	34.4222	Ain el Qudeirat	28	amalek	864
Amam	31.2185	34.9068	Be’er Nevatim	1	amam	377
Amana	33.6889	36.0317	Jebel Zabadani	1	amana	622
Amate	31.7823	47.8694	Karkheh River	0	amate	284
Amaw	36.7014	38.0865	between Aleppo and Carchemish	1	amaw	593
Ammah	31.8410	35.2795	east of Gibeon	1	ammah	678
Ammon	31.9547	35.9343	Amman	106	ammon	1000
Amphipolis	40.8202	23.8472	Amphipolis	1	amphipolis	1000
Anab	31.4121	34.9549	Khirbet Anab es Seghireh	2	anab	777
Anaharath	32.6534	35.4661	Tell Rekhesh	1	anaharath	741
Ananiah	31.7717	35.2559	Al Eizariya	1	ananiah	497
Anathoth	31.8075	35.2576	Ras el Kharruba	18	anathoth	420
Anem	32.6763	35.5467	Khirbet Anim	1	anem	144
Aner	32.5215	35.2191	Tell Ta’anakh	1	aner	662
Angle	31.7767	35.2342	Jerusalem	5	angle	1000
Anim	31.3536	35.0635	Horbat Anim	1	anim	763
Antioch 1	36.2267	36.1717	Antioch on the Orontes	18	antioch-1	1000
Antioch 2	38.3061	31.1892	Antioch in Pisidia	4	antioch-2	1000
Aphek 1	32.8461	35.1119	Tel Afek	1	aphek-1	675
Aphek 2	32.1050	34.9304	Tell Ras el Ain	4	aphek-2	901
Aphek 3	32.7837	35.6373	Tel Ein Gev	3	aphek-3	435
Aphek 4	34.0692	35.8861	Afqa	1	aphek-4	661
Aphekah	31.4555	34.9975	Khirbet al Hadab	1	aphekah	498
Aphik	32.8461	35.1119	Tel Afek	1	aphik	560
Apollonia	40.6237	23.4697	Apollonia	1	apollonia	1000
Ar	31.3599	35.7828	Khirbet al Balua	7	ar	359
Arab	31.4319	35.0296	Khirbet er Rabiyeh	1	arab	536
Arabah	30.4169	35.1514	Arabah	26	arabah	1000
Arabia 1	23.0000	46.0000	Arabian Peninsula	6	arabia-1	1000
Arabia 2	30.0700	35.3500	Arabia Petraea	2	arabia-2	1000
Arad 1	31.2808	35.1250	Tel Arad	3	arad-1	370
Arad 2	31.2808	35.1250	Tel Arad	1	arad-2	431
Aram	33.5111	36.3064	Damascus	11	aram	1000
Aram-naharaim	36.8644	39.0328	Harran	1	aram-naharaim	922
Ararat	39.7028	44.3004	Urartu	4	ararat	1000
Arbela	32.8151	35.4838	Horbat Arbel	0	arbela	1000
Areopagus	37.9722	23.7236	Areopagus	3	areopagus	1000
Argob	32.9695	36.4554	Argob	4	argob	1000
Ariel	31.7767	35.2342	Jerusalem	3	ariel	1000
Arimathea	32.0281	35.0194	Rantis	4	arimathea	228
Armageddon	32.5853	35.1844	Tel Megiddo	1	armageddon	557
Arnon	31.4658	35.5733	Wadi Mujib	12	arnon	1000
Aroer 1	31.4708	35.8194	Arair	13	aroer-1	872
Aroer 2	31.9702	35.8713	Khirbet Udena	2	aroer-2	219
Aroer 3	31.1521	34.9791	Khirbet Aro’er	1	aroer-3	649
Aroer 4	31.1521	34.9791	Khirbet Aro’er	1	aroer-4	544
Arpad	36.4725	37.0947	Tell Rifat	6	arpad	765
Arsinoe	30.2252	32.4695	Kibrit	0	arsinoe	134
Arubboth	32.4073	35.1336	Khirbet el Hamam	1	arubboth	445
Arumah	32.1476	35.3216	Khirbet Urmah	2	arumah	699
Arvad	34.8561	35.8583	Arwad	2	arvad	895
Ashan	31.2814	34.7974	Khirbet Asan	4	ashan	442
Ashdod	31.7572	34.6578	Tel Ashdod	21	ashdod	1000
Ashkelon	31.6639	34.5458	Tel Ashkelon	12	ashkelon	1000
Ashkenaz	44.9428	34.1206	Scythian Neapolis	1	ashkenaz	1000
